model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
XGBoost_BAG_L1,-0.03638853530117697,rmsle,0.4866759777069092,36.95909357070923,0.4866759777069092,36.95909357070923,1,True,8
WeightedEnsemble_L3,-0.03638853530117697,rmsle,0.5036187171936035,42.330774545669556,0.016942739486694336,5.371680974960327,3,True,15
WeightedEnsemble_L2,-0.03638853530117697,rmsle,0.5047531127929688,40.91220688819885,0.01807713508605957,3.953113317489624,2,True,11
LightGBM_BAG_L1,-0.03736392198461951,rmsle,1.1207396984100342,40.38099908828735,1.1207396984100342,40.38099908828735,1,True,4
LightGBMXT_BAG_L1,-0.040897951582483626,rmsle,0.9653780460357666,31.82092022895813,0.9653780460357666,31.82092022895813,1,True,3
CatBoost_BAG_L1,-0.04107465588355366,rmsle,0.15061688423156738,586.8392567634583,0.15061688423156738,586.8392567634583,1,True,6
LightGBM_BAG_L2,-0.04148312388787833,rmsle,72.91205668449402,2230.532527923584,22.51412320137024,496.73702573776245,2,True,13
LightGBMLarge_BAG_L1,-0.04211491661250036,rmsle,3.752021074295044,77.29206109046936,3.752021074295044,77.29206109046936,1,True,10
LightGBMXT_BAG_L2,-0.042720377605534224,rmsle,66.37347340583801,2058.667467355728,15.975539922714233,324.8719651699066,2,True,12
RandomForestMSE_BAG_L1,-0.048779890702972215,rmsle,14.89640998840332,83.28657579421997,14.89640998840332,83.28657579421997,1,True,5
ExtraTreesMSE_BAG_L1,-0.05668544276699085,rmsle,15.22551941871643,57.0944664478302,15.22551941871643,57.0944664478302,1,True,7
KNeighborsDist_BAG_L1,-0.0931254339647758,rmsle,5.677002906799316,1.5740563869476318,5.677002906799316,1.5740563869476318,1,True,2
KNeighborsUnif_BAG_L1,-0.0954271954642637,rmsle,7.413287878036499,1.586510419845581,7.413287878036499,1.586510419845581,1,True,1
NeuralNetTorch_BAG_L1,-0.2684994924578013,rmsle,0.7102816104888916,816.9615623950958,0.7102816104888916,816.9615623950958,1,True,9
CatBoost_BAG_L2,-0.33347927505053704,rmsle,50.42939567565918,1747.908507347107,0.03146219253540039,14.1130051612854,2,True,14
